id;level;content_text;content_text_en;sort_order;is_active;created_at
a68071a1-6b91-4420-aa65-c059adbb9f75;L1;你的名字有什麼有趣的含義或小故事嗎？;Does your name have an interesting meaning or story?;1;true;2026-01-27 13:35:22.643815+00
c46de569-77f2-4ec7-a3af-7dd921f327c6;L1;如果今天完全不用負責，你最想怎麼過？;If you had no responsibilities today, how would you spend it?;2;true;2026-01-27 13:35:22.643815+00
ae20b646-a49d-413f-8604-6091111d7cde;L1;最近有沒有一件小事，讓你心情變好？;What's a small thing recently that made you feel better?;3;true;2026-01-27 13:35:22.643815+00
b2dc5a9a-7908-48dc-b949-2f57ecefbfdd;L1;你最近常聽的一首歌是什麼？為什麼？;What song have you been listening to a lot lately, and why?;4;true;2026-01-27 13:35:22.643815+00
11061292-17d4-4491-a2ed-c3cc210f6d3d;L1;最近一次讓你笑出來的事情是什麼？;What's something that made you laugh recently?;5;true;2026-01-27 13:35:22.643815+00
ba3808ac-c4a2-4ffd-8880-c39944573e9a;L1;用一個形容詞描述你最近的狀態。;Describe your current state with one word.;6;true;2026-01-27 13:35:22.643815+00
cf48618c-fc01-4cc6-9303-2a3a076d32cc;L1;如果現在立刻放假三天，你會去哪？;If you suddenly had three days off, where would you go?;7;true;2026-01-27 13:35:22.643815+00
4e36ec36-13e5-4414-8e0e-c71eace7d58c;L1;你手機裡最近一張讓你微笑的照片是什麼？;What's a recent photo on your phone that makes you smile?;8;true;2026-01-27 13:35:22.643815+00
48d53333-1317-4902-b2c6-58855625732b;L1;分享一個你身上微小但特別的冷知識。;Share a small but interesting fun fact about yourself.;9;true;2026-01-27 13:35:22.643815+00
a3900319-6cd5-435e-8137-cbafc2d5bbf6;L1;如果可以擁有一種超能力，你希望是什麼？;If you could have one superpower, what would it be?;10;true;2026-01-27 13:35:22.643815+00
81e30795-299c-43bf-a7f1-b7ddb33263d1;L1;最近看過或聽過一個不錯的影片／內容？;Have you watched or listened to something good recently?;11;true;2026-01-27 13:35:22.643815+00
154be18f-356d-48a2-b8b5-6cdb90d1dd38;L1;你最喜歡的一種放鬆方式是什麼？;What's your favorite way to relax?;12;true;2026-01-27 13:35:22.643815+00
b61f225e-8b54-48ed-98d3-e3ab61e3a55a;L1;最近讓你感到療癒的一件小事？;What's something small that felt healing recently?;13;true;2026-01-27 13:35:22.643815+00
4e39f0f0-1b18-4caf-8f4e-5555286fac50;L1;如果今天只能吃一樣東西，你會選什麼？;If you could only eat one thing today, what would it be?;14;true;2026-01-27 13:35:22.643815+00
0c53a2a1-3447-4ba6-acd9-4fd99165c3eb;L1;最近讓你覺得「還不錯」的一刻是什麼？;"What's a recent moment that made you think, ""This isn't bad""?";15;true;2026-01-27 13:35:22.643815+00
f722bb44-4b9d-4435-b41c-63cbe19864f9;L1;你比較早睡派，還是夜貓派？;Are you more of an early sleeper or a night owl?;16;true;2026-01-27 13:35:22.643815+00
ff7aac0e-0e33-46d8-bdf6-531480884380;L1;如果用一首歌形容你現在的心情，會是哪一首？;If your current mood were a song, what song would it be?;17;true;2026-01-27 13:35:22.643815+00
f0006da1-418d-40f5-b0da-8b4580826ab2;L2;邀請大家說說對你的第一印象。;What was your first impression of me?;18;true;2026-01-27 13:35:22.643815+00
0badb6e5-db7a-4b63-bbd8-b23e77c9916d;L2;你現在最需要的是：休息、陪伴，還是肯定？;Right now, what do you need most: rest, companionship, or affirmation?;19;true;2026-01-27 13:35:22.643815+00
4f59c230-055c-4629-98b1-3fae6d8947df;L2;最近你在努力的一件事是什麼？;What's something you've been putting effort into recently?;20;true;2026-01-27 13:35:22.643815+00
eabc040a-6ff4-4597-be92-f7ca85a9fca7;L2;分享一段你很喜歡的話，它為什麼對你重要？;Share a quote you like and why it matters to you.;21;true;2026-01-27 13:35:22.643815+00
2cfae99c-6938-4174-b68c-da6641a429fa;L2;你最常對自己說的一句內心台詞是什麼？;What's a sentence you often say to yourself?;22;true;2026-01-27 13:35:22.643815+00
9f6eff33-4224-4d83-af5f-22c506394849;L2;你覺得別人最容易誤會你的是什麼？;What do people often misunderstand about you?;23;true;2026-01-27 13:35:22.643815+00
1405259b-6b44-424c-913c-73f12129b350;L2;你現在想培養、但還不太穩定的一個能力？;What's a skill you want to develop but haven't mastered yet?;24;true;2026-01-27 13:35:22.643815+00
ab43f1d3-6e3f-4eb7-906a-06264f0df4f1;L2;人生第一份工作是什麼？有什麼特別回憶？;What was your first job, and do you have a memorable moment from it?;25;true;2026-01-27 13:35:22.643815+00
eea911d6-8a60-4c01-a451-b7a1a49b91f0;L2;最近一次你真實感覺到被在乎，是什麼時候？;When was the last time you truly felt cared for?;26;true;2026-01-27 13:35:22.643815+00
270fcc61-bb7a-4728-b953-df237515be85;L2;你如何定義「成功」？;How do you define success?;27;true;2026-01-27 13:35:22.643815+00
63b06681-c6c4-45bb-bada-dc3b02d60957;L2;你覺得自己很努力但比較少被看見的地方？;What's something you work hard at but feel rarely noticed for?;28;true;2026-01-27 13:35:22.643815+00
36bc918f-ae33-4f28-87e9-3832beabecef;L2;你現在生活中最喜歡的部分是什麼？它滿足你什麼？;What's your favorite part of life right now, and what need does it meet?;29;true;2026-01-27 13:35:22.643815+00
a0f01d34-d85b-4818-bccb-6f82056fe351;L2;你通常怎麼面對情緒低潮？;How do you usually cope with emotional lows?;30;true;2026-01-27 13:35:22.643815+00
